refid	reference
658	23. Cicero. T. J.: Adams, M. L.: Giordano, A.: Miller. B. ‘I‘.: O‘( ‘oil-  nor. L.: Neck, B Influence of morphine exposure during adoles-  cence on the sexual maturation of male rats and the development  of their offspring. J. Pharmacol. Exp. Ther. 256:108h-109.3: IYYl
658	24. Cicero. T. J.; Adams.M. L.: O‘Conner, L.: Neck. B.: Mever.  E. R.: Wozniak, D. Influence of chronic alcohol administraiion  on representative indicts of puberty and sexual maturation in  male rats and the development of their progeny. J. Pharmacol.  Exp. Ther. 255:707-7 1.5: 1900
658	25:437-44; 1976.   12. Barlow. S.; Sullivan, F. Reproductive hazards of industrial chemi-  cals. New York: Marcel Decker: 1985.   13. Begleiter, H.; Porjesz, B.; Bihari, B.; Kissin. B. Event-related  brain potentials in boys at risk for alcoholism. Science 225:  1493-96; 1984.   14. Bellve, A. R.; Chandrika, R.; Martinova, Y.: Barth, A. H. The  perinuclear matrix as a structural element of the mouse sperm  nucleus. Biol. Reprod. 47:451-465; 1992.   15. Benziger, D. P.; Edelson, J. Absorption from the vagina. Drug  Metab. Rev. 14:137-168;1988.   16. Berk, R. S.; Montgomery, 1. N; Hazlett, L. D.; Abel, E. L. Paternal  alcohol consumption: Effects on ocular response and serum anti-  body response to Pseudomonas aeruginosa infection in offspring.  Alcohol Clin.. Exp. Res. 13:795-798: 1989.   17. Bertin, J. E.; Werby, E. A. Legal and policy issues. In: Paul, M.;  ed. Occupational and environmental reproductive hazards: A  guide for Clinicians. Baltimore: Williams and Wilkins; 1993:  150-162.   18. Bleich, D.; Polak, M.; Eisenbarth, G. S.; Jackson, R. A. De-  creased risk of type I diabetes in offspring of mothers who acquire  diabetes during adrenarchy. Diabetes 42:1433-1439: 1993.   19. Brady, K.; Herrera. Y.; Zenick, H. Influence of parental lead  exposure on subsequent learning ability of offspring. Pharmacol.  Biochem. Behav. 3:561-565; 1975.   20. Buckley, J. Male-mediated developmental toxicity: Paternal ex-     698 FRIEDLER   posures and childhood cancers. In: Olshan. A. F.: Mattison. D. R..  eds. Male-mediated developmental toxicity. New York: Plenum  Press: lYY4:169-175.   21. Campbell, J. H.; Zimmerman. E.G. Automodulation 01 penes:  A proposed mechanism for persisting effects of drugs and hor-  mones in mammals. Neurobehav. Toxicol. Teratol. 4:435-13%  1982.   22. Carlscn. E.; Giwcrcman. A.: Kciding, N.: Skakkeback, N. E.  Evidence for decreasing quality of semen during the paht lift!  years. BMJ 305:6OY-613: 1992.   23. Cicero. T. J.: Adams, M. L.: Giordano, A.: Miller. B. ‘I‘.: O‘( ‘oil-  nor. L.: Neck, B Influence of morphine exposure during adoles-  cence on the sexual maturation of male rats and the development  of their offspring. J. Pharmacol. Exp. Ther. 256:108h-109.3: IYYl.   24. Cicero. T. J.; Adams.M. L.: O‘Conner, L.: Neck. B.: Mever.  E. R.: Wozniak, D. Influence of chronic alcohol administraiion  on representative indicts of puberty and sexual maturation in  male rats and the development of their progeny. J. Pharmacol.  Exp. Ther. 255:707-7 1.5: 1900.   25. Cicero, T. J.; Neck. B.: O’(‘onner. L.: Adams, IM.; Meyer. E. R.  Adverse effects of opiate exposure on offspring development  and sensitivity to morphine-induced analgesia. J. Pharmacol.  Exp. Ther. 273386392: IYYS
658	26. Cicero. T. J.: Neck, B.: O’Connet-. L.: Adams. M.: Scwiy!. 1~. N.  Acute alcohol exposure markedly influences male fertlhty and  fetal outcome in the male rat. Life Sci. S5:YOl~910: lYY4
659	E.T. Gatzidou, A.N. Zira, S.E. Theocharis, Toxicogenomics: a pivotal piece in the puzzle of toxicological research, J. Appl. Toxicol. 4 (2007) 302-309.
659	J. Borlak (Ed.), Handbook on Toxicogenomics: Strategies and Applications, Wiley-VCH Verlag GmbH, Germany, 2005, pp. 1-500.
659	A.P. Feinberg, R. Ohlsson, S. Henikoff, The epigenetic progenitor origin of human cancer, Nat. Rev. Genet. 7 (2006) 21-33.
659	P. Jelinic, P. Shaw, Loss of imprinting and cancer, J. Pathol. 211 (2007) 261-268.
659	P.A. Jones, S.B. Baylin, The epigenomics of cancer, Cell 128 (2007) 683-692.
659	G.N. Wogan, S.S. Hecht, J.S. Felton, A.H. Conney, L.A. Loeb, Environmental and chemical carcinogenesis, Semin. Cancer Biol. 14 (2004) 473-486.
659	J.R. Weidman, D.C. Dolinoy, S.K. Murphy, R.L. Jirtle, Cancer susceptibility: epigenetic manifestation of environmental exposures, Cancer J. 13 (2007) 9-16.
659	R.L. Jirtle, M.K. Skinner, Environmental epigenomics and disease susceptibility, Nat. Rev. Genet. 8 (2007) 253-262.
659	S.M. Reamon-Buettner, J. Borlak, A new paradigm in toxicology and teratology: altering gene activity in the absence of DNA sequence variation, Reprod. Toxicol. 24 (2007) 20-30.
659	M. Esteller, Cancer epigenomics: DNA methylomes and histone-modification maps, Nat. Rev. Genet. 8 (2007) 286-298.
659	G. Egger, G. Liang, A. Aparicio, P.A. Jones, Epigenetics in human disease and prospects for epigenetic therapy, Nature 429 (2004) 457-463.
659	W. Reik, A. Lewis, Co-evolution of X-chromosome inactivation and imprinting in mammals, Nat. Rev. Genet. 6 (2005) 403-410.
659	J.C. Kiefer, Epigenetics in development, Dev. Dyn. 4 (2007) 1144-1156.
659	R.K. Slotkin, R. Martienssen, Transposable elements and the epigenetic regulation of the genome, Nat. Rev. Genet. 8 (2007) 272-285.
659	K.D. Robertson, DNA methylation and human disease, Nat. Rev. Genet. 6 (2005) 597-610.
659	A. Hellman, A. Chess, Gene body-specific methylation on the active X chromosome, Science 315 (2007) 1141-1143.
659	A.B. Brinkman, S.W. Pennings, G.G. Braliou, L.E. Rietveld, H.G. Stunnenberg, DNA methylation immediately adjacent to active histone marking does not silence transcription, Nucleic Acids Res. 35 (2007) 801-811.
659	R. Margueron, P. Trojer, D. Reinberg, The key to development: interpreting the histone code? Curr. Opin. Genet. Dev. 15 (2005) 163-176.
659	T. Kouzarides, Chromatin modifications and their function, Cell 128 (2007) 693-705.
659	D.J. Tremethick, Higher-order structures of chromatin: the elusive 30 nm fiber, Cell 128 (2007) 651-654.
659	W. Fischle, Y. Wang, C.D. Allis, Histone and chromatin cross-talk, Curr. Opin. Cell Biol. 15 (2003) 172-183.
659	K.P. Nightingale, L.P. O'Neill, B.M. Turner, Histone modifications: signalling receptors and potential elements of a heritable epigenetic code, Curr. Opin. Genet. Dev. 16 (2006) 125-136.
659	K.P. Nightingale, S. Gendreizig, D.A. White, C. Bradbury, F. Hollfelder, B.M. Turner, Cross-talk between histone modifications in response to histone deacetylase inhibitors: MLL4 links histone H3 acetylation and histone H3K4 methylation, J. Biol. Chem. 282 (2007) 4408-4416.
659	K.V. Prasanth, D.L. Spector, Eukaryotic regulatory RNAs: an answer to the 'genome complexity' conundrum, Genes Dev. 21 (2007) 11-42.
659	K.C. Pang, S. Stephen, M.E. Dinger, P.G. Engstrom, B. Lenhard, J.S. Mattick, RNAdb 2.0-an expanded database of mammalian non-coding RNAs, Nucleic Acids Res. 35 (2007) D178-D182.
659	M.A. Valencia-Sanchez, J. Liu, G.J. Hannon, R. Parker, Control of translation and mRNA degradation by miRNAs and siRNAs, Genes Dev. 20 (2006) 515-524.
659	D.H. Kim, J.J. Rossi, Strategies for silencing human disease using RNA interference, Nat. Rev. Genet. 8 (2007) 173-184.
659	T.M. Rana, Illuminating the silence: understanding the structure and function of small RNAs, Nat. Rev. Mol. Cell Biol. 8 (2007) 23-36.
659	K. Chen, N. Rajewsky, The evolution of gene regulation by transcription factors and microRNAs, Nat. Rev. Genet. 8 (2007) 93-103.
659	J.C. Chuang, P.A. Jones, Epigenetics and microRNAs, Pediatr. Res. 61 (2007) 24R-29R.
659	J.E. Sutherland, M. Costa, Epigenetics and the environment, Ann. N.Y. Acad. Sci. 983 (2003) 151-160.
659	V. Bombail, J.G. Moggs, G. Orphanides, Perturbation of epigenetic status by toxicants, Toxicol. Lett. 149 (2004) 51-58.
659	T. Ushijima, E. Okochi-Takada, Aberrant methylations in cancer cells: where do they come from? Cancer Sci. 96 (2005) 206-211.
659	D.C. Dolinoy, R. Das, J.R. Weidman, R.L. Jirtle, Metastable epialleles, imprinting, and the fetal origins of adult diseases, Pediatr. Res. 61 (2007) 30R-37R.
659	D.C. Dolinoy, J.R. Weidman, R.L. Jirtle, Epigenetic gene regulation: linking early developmental environment to adult disease, Reprod. Toxicol. 23 (2007) 297-307.
659	J.E. Cropley, C.M. Suter, K.B. Beckman, D.I. Martin, Germ-line epigenetic modification of the murine A vy allele by nutritional supplementation, Proc. Natl. Acad. Sci. U.S.A. 103 (2006) 17308-17312.
659	M.D. Anway, M.K. Skinner, Epigenetic transgenerational actions of endocrine disruptors, Endocrinology 147 (2006) S43-S49.
659	M.K. Skinner, Endocrine disruptors and epigenetic transgenerational disease etiology, Pediatr. Res. 61 (2007) 48R-50R.
659	M. Esteller, Epigenetics provides a new generation of oncogenes and tumour-suppressor genes, Br. J. Cancer 96 (Suppl.) (2007) R26-R30.
659	M.F. Fraga, E. Ballestar, A. Villar-Garea, M. Boix-Chornet, J. Espada, G. Schotta, T. Bonaldi, C. Haydon, S. Ropero, K. Petrie, N.G. Iyer, A. PerezRosado, E. Calvo, J.A. Lopez, A. Cano, M.J. Calasanz, D. Colomer, M.A. Piris, N. Ahn, A. Imhof, C. Caldas, T. Jenuwein, M. Esteller, Loss of acetylation at Lys16 and trimethylation at Lys20 of histone H4 is a common hallmark of human cancer, Nat. Genet. 37 (2005) 391-400.
659	L.M. Postovit, F.F. Costa, J.M. Bischof, E.A. Seftor, B. Wen, R.E. Seftor, A.P. Feinberg, M.B. Soares, M.J. Hendrix, The commonality of plasticity underlying multipotent tumor cells and embryonic stem cells, J. Cell Biochem. 101 (2007) 908-917.
659	M.J. Hendrix, E.A. Seftor, R.E. Seftor, J. Kasemeier-Kulesa, P.M. Kulesa, L.M. Postovit, Reprogramming metastatic tumour cells with embryonic microenvironments, Nat. Rev. Cancer 7 (2007) 246-255.
659	P.W. Laird, Cancer epigenetics, Hum. Mol. Genet. 14 (Spec. No. 1) (2005) R65-R76.
659	C.B. Yoo, P.A. Jones, Epigenetic therapy of cancer: past, present and future, Nat. Rev. Drug Discov. 5 (2006) 37-50.
659	G. Liu, F. Wong-Staal, Q.X. Li, Development of new RNAi therapeutics, Histol. Histopathol. 22 (2007) 211-217.
659	M. Herranz, M. Esteller, DNA methylation and histone modifications in patients with cancer: potential prognostic and therapeutic targets, Methods Mol. Biol. 361 (2007) 25-62.
659	P. Ulivi, W. Zoli, D. Calistri, F. Fabbri, A. Tesei, M. Rosetti, M. Mengozzi, D. Amadori, p16INK4A and CDH13 hypermethylation in tumor and serum of non-small cell lung cancer patients, J. Cell Physiol. 206 (2006) 611-615.
659	Y. Murakami, Involvement of a cell adhesion molecule, TSLC1/IGSF4, in human oncogenesis, Cancer Sci. 96 (2005) 543-552.
659	J. Mazieres, B. He, L. You, Z. Xu, A.Y. Lee, I. Mikami, N. Reguart, R. Rosell, F. McCormick, D.M. Jablons, Wnt inhibitory factor-1 is silenced by promoter hypermethylation in human lung cancer, Cancer Res. 64 (2004) 4717-4720.
659	E. Kerkhoff, L.M. Fedorov, R. Siefken, A.O. Walter, T. Papadopoulos, U.R. Rapp, Lung-targeted expression of the c-Raf-1 kinase in transgenic mice exposes a novel oncogenic character of the wild-type protein, Cell Growth Differ. 11 (2000) 185-190.
659	A. Ehrhardt, T. Bartels, A. Geick, R. Klocke, D. Paul, R. Halter, Development of pulmonary bronchiolo-alveolar adenocarcinomas in transgenic mice overexpressing murine c-myc and epidermal growth factor in alveolar type II pneumocytes, Br. J. Cancer. 84 (2001) 813-818.
659	A. Ehrhardt, T. Bartels, R. Klocke, D. Paul, R. Halter, Increased susceptibility to the tobacco carcinogen 4-(methylnitrosamino)-1-(3pyridyl)-1-butanone in transgenic mice overexpressing c-myc and epidermal growth factor in alveolar type II cells, J. Cancer Res. Clin. Oncol. 129 (2003) 71-75.
659	H. Rutters, P. Zurbig, R. Halter, J. Borlak, Towards a lung adenocarcinoma proteome map: studies with SP-C/c-raf transgenic mice, Proteomics 6 (2006) 3127-3137.
659	T. Fukami, H. Satoh, E. Fujita, T. Maruyama, H. Fukuhara, M. Kuramochi, S. Takamoto, T. Momoi, Y. Murakami, Identification of the Tslc1gene, a mouse orthologue of the human tumor suppressor TSLC1 gene, Gene 295 (2002) 7-12.
659	T. Fukami, H. Fukuhara, M. Kuramochi, T. Maruyama, K. Isogai, M. Sakamoto, S. Takamoto, Y. Murakami, Promoter methylation of the TSLC1 gene in advanced lung tumors and various cancer cell lines, Int. J. Cancer. 107 (2003) 53-59.
659	G. Heller, K.M. Fong, L. Girard, S. Seidl, A. End-Pfutzenreuter, G. Lang, A.F. Gazdar, J.D. Minna, C.C. Zielinski, S. Zochbauer-Muller, Expression and methylation pattern of TSLC1 cascade genes in lung carcinomas, Oncogene 9 (2006) 959-968.
659	S. Kikuchi, D. Yamada, T. Fukami, T. Maruyama, A. Ito, H. Asamura, Y. Matsuno, M. Onizuka, Y. Murakami, Hypermethylation of the TSLC1/ IGSF4 promoter is associated with tobacco smoking and a poor prognosis in primary nonsmall cell lung carcinoma, Cancer 106 (2006) 1751-1758.
659	K. Shimizu, Y. Itsuzaki, M. Onishi, H. Fujii, K. Honoki, T. Tsujiuchi, Reduced expression of the Tslc1 gene and its aberrant DNA methylation in rat lung tumors, Biochem. Biophys. Res. Commun. 347 (2006) 358-362.
659	B.R. Vuillemenot, J.A. Hutt, S.A. Belinsky, Gene promoter hypermethylation in mouse lung tumors, Mol. Cancer Res. 4 (2006) 267-273.
659	T. Ushijima, Detection and interpretation of altered methylation patterns in cancer cells, Nat. Rev. Cancer. 5 (2005) 223-231.
659	S.M. Ho, W.Y. Tang, Techniques used in studies of epigenome dysregulation due to aberrant DNA methylation: an emphasis on fetal-based adult diseases, Reprod. Toxicol. 23 (2007) 267-282.
659	H. Hayashi, G. Nagae, S. Tsutsumi, K. Kaneshiro, T. Kozaki, A. Kaneda, H. Sugisaki, H. Aburatani, High-resolution mapping of DNA methylation in human genome using oligonucleotide tiling array, Hum. Genet. 120 (2007) 701-711.
659	[63] B. Betz, A.R. Florl, H.H. Seifert, P. Dall, W.A. Schulz, D. Niederacher, Denaturing high-performance liquid chromatography (DHPLC) as a reliable high-throughput prescreening method for aberrant promoter methylation in cancer, Hum. Mutat. 23 (2004) 612-620.
659	[64] D. Luo, B. Zhang, L. Lv, S. Xiang, Y. Liu, J. Ji, D. Deng, Methylation of CpG islands of p16 associated with progression of primary gastric carcinomas, Lab. Invest. 86 (2006) 591-598.
961	The author acknowledges the Swedish Council for Working Life and Social Research grants 2008-1153 and 2010-1421.
1410	Bradley, R. H., & Corwyn, R. F. (2003). Age and ethnic variations in family process mediators of SES. In M. H. Socioeconomic status, Bornstein & R. H. Bradley (Eds.), parenting, and child development (pp. 161-188). Mahwah, NJ: Erlbaum. 
1410	Bradley, R. H., Corwyn, R. F., McAdoo, H. P., & Garcıa Coll, C. (2001). The home environments of children in the United States: Part I. Variations by age, ethnicity, Child Development 72 and poverty status. , , 1844-1867.
1410	Christopher, J. C., & Campbell, R. L. (2008). An interactiv- ist-hermeneutic metatheory for positive psychology. Theory & Psychology 18 , , 675-697.
1410	Conger, R. D., & Conger, K. J. (2002). Resilience in Mid- western families: Selected findings from the first dec- Journal of ade of a prospective, longitudinal study. Marriage and Family 64 , , 361-373.
1410	Conger, R. D., Conger, K. J., Elder, G. H., Jr., Lorenz, F. O., Simons, R. L., & Whitbeck, L. B. (1992). A family process model of economic hardship and adjustment Child Development 63 of early adolescent boys. , , 526- 541.
1410	Conger, R. D., Conger, K. J., Elder, G. H., Jr., Lorenz, F. O., Simons, R. L., & Whitbeck, L. B. (1993). Family eco- nomic stress and adjustment of early adolescent girls. Developmental Psychology 29 , , 206-219.
1410	Conger, R. D., Conger, K. J., & Martin, M. J. (2010). Social class, family processes, and individual development. Journal of Marriage and Family 72 , , 685-704.
1410	Conger, R. D., & Donnellan, M. B. (2007). An interaction- ist perspective on the socioeconomic context of Annual Review of Psychology 58 human development. , , 175-199.
1410	Conger, R. D., Wallace, L. E., Sun, Y., Simons, R. L., McLoyd, V. C., & Brody, G. (2002). Economic pressure in African American families: A replication and exten- Developmental Psychol- sion of the family stress model. ogy 38 ,, 179-193.
1410	Corcoran, M., & Adams, T. (1997). Race, sex, and the intergenerational transmission of poverty. In G. J. Consequences of Duncan & J. Brooks-Gunn (Eds.), growing up poor (pp. 461-517). New York: Russell Sage Foundation. NEO PI-R. Profes-
1410	Costa, P. T., & McCrae, R. R. (1992). sional manual . Odessa, FL: Psychological Assessment Resources.
1410	Cummings, E. M., Davies, P. T., & Simpson, K. S. (1994). Marital conflict, gender, and children's appraisals and coping efficacy as mediators of child adjustment. Journal of Family Psychology 8 , , 141-149.
1410	DeYoung, C. G. (2006). Higher-order factors of the Big Journal of Personality Five in a multi-informant sample. and Social Psychology 91 , , 1138-1151.
1410	Digman, J. M. (1997). Higher-order factors of the Big Five. Journal of Personality and Social Psychology 73 , , 1246- 1256.
1410	Duncan, G. J., & Magnuson, K. A. (2003). Off with Hol- lingshead: Socioeconomic resources, parenting, and child development. In M. H. Bornstein & R. H. Bradley Socioeconomic status, parenting, and child develop- (Eds.), ment (pp. 83-106). Mahwah, NJ: Erlbaum. Peabody Picture Vocab-
1410	Dunn, L. M., & Dunn, L. M. (1981). ulary Test-Revised . Circle Pines, MN: American Guid- ance Service.
1410	Feinstein, L., & Bynner, J. (2004). The importance of cog- nitive development in middle childhood for adulthood socioeconomic status, mental health, and problem Child Development 75 behavior. , , 1329-1339.
1410	Furstenberg, F. F., Cook, T. D., Eccles, J., Elder, G. H., & Managing to make it: Urban fami- Sameroff, A. J. (1999). lies and adolescent success . Chicago: University of Chi- cago Press.
1410	Han, W. J. (2005). Maternal nonstandard work schedules Child Development 76 and child cognitive outcomes. , , 137-154. Succeeding genera-
1410	Haveman, R. H., & Wolfe, B. S. (1994). tions: On the effects of investments in children . New York: Russell Sage Foundation.
1410	Hoff, E. (2003). The specificity of environmental influ- ence: Socioeconomic status affects early vocabulary Child Development development via maternal speech. , 74 , 1368-1378.
1410	Hoff, E., Laursen, B., & Tardif, T. (2002). Socioeconomic Hand- status and parenting. In M. H. Bornstein (Ed.), book of parenting: Vol. 2. Biology and ecology of parenting (2nd ed., pp. 231-252). Mahwah, NJ: Erlbaum.
1410	Huston, A. C., & Aronson, S. R. (2005). Mothers' time with infant and time in employment as predictors of mother-child relationships and children's early devel- Child Development 76 opment. , , 467-482.
1410	Huston, A. C., Duncan, G. J., McLoyd, V. C., Crosby, D. A., Ripke, M. N., Weisner, T. S., et al. (2005). Impacts on children of a policy to promote employment and reduce poverty for low-income parents: New hope after Developmental Psychology 41 5 years. , , 902-918.
1410	Jang, K. L., Livesley, W. J., Ando, J., Yamagata, S., Suzuki, A., Angleitner, A., et al. (2006). Behavioral genetics of Personality and the higher-order factors of the Big Five. Individual Differences 41 , , 261-272. Positive therapy: A meta-
1410	Joseph, S., & Linley, P. A. (2006). theory for positive psychological practice . New York: Routledge.
1410	Kohen, D. E., Brooks-Gunn, J., Leventhal, T., & Hertzman, C. (2002). Neighborhood income and physical and social disorder in Canada: Associations with young children's Child Development 73 competencies. , , 1844-1860. youth development.
1410	Larson, R. (2000). Towards a psychology of positive , American Psychologist 55 , 170-183.
1410	Lerner, R. M. (2003). What are SES effects effects of? A developmental systems perspective. In M. H. Bornstein Socioeconomic status, parenting, & R. H. Bradley (Eds.), and child development (pp. 231-255). Mahwah, NJ: Erlbaum.
1410	Linver, M. R., Brooks-Gunn, J., & Kohen, D. (2002). Family processes as pathways from income to young children's Developmental Psychology 38 development. , , 719-734.
1410	Markon, K. E., Krueger, R. F., & Watson, D. (2005). Delin- eating the structure of normal and abnormal personal- Journal of ity: An integrative hierarchical approach. Personality and Social Psychology 88 ,, 139-157. What money can't buy: Family income and
1410	Mayer, S. (1997). children's life chances . Cambridge, MA: Harvard Univer- sity Press.
